,bottomtrawlers,purseseinerspelagictrawlers,mixedartisanalgears,longliners,tunapurseseiners,othersandunknown
Palaemonserratus,0.224917726,0.018394475,0.03869252,0,0,0.028671402
Palinuruselephas,0.029141833,0.002681508,0.121328129,0.00343522,0,0.001473745
Parapenaeuslongirostris,0.195243403,5.87E-06,0.013528236,6.57E-05,0,2.77E-04
Penaeuskerathurus,0.342948364,0.003889963,0.095828707,0,0,0.169007371
Phycisphycis,0.151505773,3.63E-05,0.210417018,3.20E-06,0,0.136823976
Platichthysflesusflesus,0.007773477,0,0.374187653,0,0,0.190199925
Atherinaboyeri,0.014018324,1.24E-05,0.010605451,0,0,0.001449336
Pleuronectesplatessa,0,0,0,0,0,0
Pomatomussaltatrix,0.237709736,0.019543832,0.361882361,2.24E-04,0,0.021495679
Pomatoschistusmarmoratus,0,0,0,0,0,0
Pomatoschistusminutus,0,0,0,0,0,0
Rhinobatosrhinobatos,0,0,0.176060187,0,0,0
Sardasarda,0.004765425,0.771719594,0.125914684,0.168937523,0,0.039947148
Sardinapilchardus,0.026774771,0.439350776,0.067169157,0,0,0.003066432
Sardinellaaurita,0.059629467,1,0.333358911,0,0,0.012080112
Sauridaundosquamis,0.058003616,0,0.047404153,0,0,0
Sciaenaumbra,0.008432095,1.81E-06,0.088594563,1.27E-04,0,0.031571976
Auxisrocheirochei,0.022580543,0.970165653,0.206349645,0.054792477,0,0.604192556
Scomberjaponicus,0.147965753,0.161636332,0.40886558,0,0,0.14021263
Scomberscombrus,0.301951229,0.385092278,0.178658516,0.003425316,0,0.042935779
Scophthalmusmaximus,0.237118679,0.011199838,0.217375473,0,0,0.1368178
Scorpaenanotata,0,0,0,0,0,0
Scyliorhinuscanicula,0.073185704,0.001360467,0.019424238,0.03443032,0,0.032495618
Sepiaofficinalis,0.534071136,0.001196216,1,1.20E-04,0,0.019001332
Serioladumerili,0.14898911,0.546562364,0.850072446,2.50E-04,0,0.352408147
Serranusatricauda,0,0,0,0,0,0
Soleasolea,0.217644329,0.005446959,0.222271967,3.18E-07,0,0.035116789
Sparusaurata,0.123265474,0.006540712,0.617850825,4.23E-05,0,0.063769465
Belonebelone,0.102719719,0.337706391,0.470585945,1.25E-04,0,0.152964244
Sphyraenasphyraena,0.20030873,0.007279929,0.532549757,2.59E-04,0,0.138879883
Sphyraenaviridensis,0,0,0,0,0,0
Spicaramaena,0.043225929,0.003011028,0.062677559,1.66E-04,0,0.01179968
Spicarasmaris,0.183373162,0.028760522,0.227066321,1.28E-04,0,0.014619611
Spondyliosomacantharus,0.063607327,0.01670944,0.867975617,6.25E-04,0,0.123225155
Sprattussprattus,0.004473615,0.06923928,0.103484715,0,0,0.009481014
Squillamantis,0.138069614,1.74E-04,0.029550545,1.80E-05,0,0.005508864
Stephanolepisdiaspros,0,0,0,0,0,0
Thunnusalalunga,2.06E-05,0,0.017311254,0.176915812,0.427902977,2.83E-04
Thunnusthynnus,1.02E-06,0,0.01536555,0.021069156,1,0.001003719
Boopsboops,0.168414048,0.162326691,0.182949368,8.09E-07,0,0.037150221
Trachurusmediterraneus,0.297613667,0.171044097,0.175358246,2.22E-06,0,0.016354857
Trachuruspicturatus,0.194771427,0.071295624,0.153570499,2.59E-06,0,0.008715456
Trachurustrachurus,0.327073392,0.371549162,0.179518654,2.42E-04,0,0.153035514
Trachyrincusscabrus,0.159892861,0,0,0,0,0
Triglalyra,0.006078153,2.33E-06,0.008640061,0,0,2.81E-04
Trisopterusluscus,0.364311436,4.58E-04,0.066588968,0,0,0.012547671
Trisopterusminutus,0.258938325,0.001679949,0.140323539,0,0,0.059617201
Upeneusmoluccensis,0.026450518,0,0.025054183,0,0,0
Xiphiasgladius,3.31E-04,6.38E-04,0.151600913,1,0,0.054185467
Zosterisessorophiocephalus,0,0,0,0,0,0
